,12/5/93,5/16/99,6/14/99,3/19/00,4/16/00,5/6/00,6/8/03,2/16/04,4/22/07,11/26/07,4/27/08,4/21/09,3/14/10,9/6/10,1/16/11,3/1/11,10/4/11,4/15/12,7/29/12,12/19/12,1/13/13,2/18/13,5/5/13,2/9/14,12/7/14,7/20/15,8/16/16,4/7/17
Silent rights,36,37,39,34,35,42,43,41,36,48,32,46,47,50,50,52,49,48,50,36,46,37,39,46,53,46,52,44
Silent control,53,56,56,61,57,51,48,52,56,48,62,42,38,45,43,42,44,45,39,50,49,56,56,51,43,50,41,51
Boomer rights,35,33,35,33,41,43,45,42,38,46,43,48,52,51,49,51,50,53,46,44,44,46,52,53,56,48,54,51
Boomer control,59,62,59,63,52,53,51,54,56,52,52,46,40,44,44,43,44,41,48,49,50,49,46,44,40,48,44,46
Gen X rights,32,23,27,24,34,32,38,33,31,41,35,44,43,44,49,48,46,49,51,46,48,48,47,50,51,47,47,46
Gen X control,64,73,70,72,60,65,59,63,60,56,61,52,52,53,47,48,50,45,45,44,47,50,52,48,47,52,52,53
Millennial rights,--,--,--,--,--,--,34,27,20,34,39,38,42,41,50,42,43,45,39,38,41,47,48,48,47,47,54,44
Millennial control,--,--,--,--,--,--,65,72,74,64,58,59,53,56,48,52,55,52,54,52,57,50,51,49,52,51,45,54
