,12/5/93,5/16/99,6/14/99,3/19/00,4/16/00,5/6/00,6/8/03,2/16/04,4/22/07,11/26/07,4/27/08,4/21/09,3/14/10,9/6/10,1/16/11,3/1/11,10/4/11,4/15/12,7/29/12,12/19/12,1/13/13,2/18/13,5/5/13,2/9/14,12/7/14,7/20/15,8/16/16,4/7/17
18-29 rights,32,26,23,21,32,33,36,28,21,37,40,38,42,41,50,41,43,43,37,36,39,47,49,49,47,48,53,39
18-29 control,64,71,74,77,64,65,63,69,71,61,57,60,53,56,48,53,55,53,55,55,59,50,50,48,52,50,46,58
30-49 rights,36,30,35,33,41,39,42,38,34,41,37,45,43,46,49,48,47,51,51,48,48,48,46,48,49,44,50,46
30-49 control,57,65,60,63,53,57,55,58,58,56,59,51,50,50,47,47,49,43,45,42,47,49,53,50,49,54,49,53
50-64 rights,35,36,40,33,41,46,46,43,40,48,41,49,54,50,49,51,50,51,45,44,44,46,53,53,57,49,55,54
50-64 control,55,59,55,61,51,49,50,52,55,50,54,43,39,45,44,42,45,43,50,50,51,50,46,45,39,48,43,44
65+ rights,35,30,32,25,30,35,42,37,30,44,32,43,46,49,48,50,48,51,48,34,46,38,41,48,53,48,49,47
65+ control,49,61,62,68,51,53,48,53,58,51,61,44,40,46,45,45,45,41,42,54,47,55,54,49,43,47,45,49
